State,City,Recipient,Grant Category,Amount,Population Estimate (Census),Spending Per Person
Alabama,Birmingham,Alabama Public Television,Other System Support,"$34,539","5,108,468",$0.64
Alabama,Birmingham,Alabama Public Television,Ready to Learn,"$50,000","5,108,468",$0.64
Alabama,Birmingham,Alabama Public Television,Television Community Service Grant,"$2,272,661","5,108,468",$0.64
Alabama,Birmingham,WBHM,Radio Community Service Grant,"$163,022","5,108,468",$0.64
Alabama,Huntsville,WLRH,Radio Community Service Grant,"$120,558","5,108,468",$0.64
Alabama,Montgomery,WVAS,Radio Community Service Grant,"$151,598","5,108,468",$0.64
Alabama,Normal,WJAB,Radio Community Service Grant,"$178,909","5,108,468",$0.64
Alabama,Troy,WTSU,Radio Community Service Grant,"$101,135","5,108,468",$0.64
Alabama,Tuscaloosa,WUAL,Radio Community Service Grant,"$205,696","5,108,468",$0.64
Alaska,Anchorage,KAKM,Other System Support,"$93,599","733,406",$13.73
Alaska,Anchorage,KAKM,Radio Programming,"$117,953","733,406",$13.73
Alaska,Anchorage,KAKM,Ready to Learn,"$50,000","733,406",$13.73
Alaska,Anchorage,KAKM,Television Community Service Grant,"$972,522","733,406",$13.73
Alaska,Anchorage,KNBA,Radio Community Service Grant,"$301,059","733,406",$13.73
Alaska,Anchorage,KNBA,Radio Programming,"$1,057,137","733,406",$13.73
Alaska,Anchorage,KSKA,Radio Community Service Grant,"$303,197","733,406",$13.73
Alaska,Barrow,KBRW,Radio Community Service Grant,"$224,862","733,406",$13.73
Alaska,Bethel,KYUK,Other System Support,"$11,734","733,406",$13.73
Alaska,Bethel,KYUK,Radio Community Service Grant,"$241,602","733,406",$13.73
Alaska,Bethel,KYUK,Television Community Service Grant,"$834,342","733,406",$13.73
Alaska,Chevak,KCUK,Radio Community Service Grant,"$207,156","733,406",$13.73
Alaska,Chevak,KCUK,Other System Support,"$20,280","733,406",$13.73
Alaska,Dillingham,KDLG,Radio Community Service Grant,"$212,870","733,406",$13.73
Alaska,Fairbanks,KRFF,Radio Community Service Grant,"$183,737","733,406",$13.73
Alaska,Fairbanks,KUAC,Radio Community Service Grant,"$183,460","733,406",$13.73
Alaska,Fairbanks,KUAC,Television Community Service Grant,"$899,387","733,406",$13.73
Alaska,Fairbanks,KUAC,Other System Support,"$13,224","733,406",$13.73
Alaska,Ft. Yukon,KZPA,Radio Community Service Grant,"$206,829","733,406",$13.73
Alaska,Galena,KIYU,Radio Community Service Grant,"$214,248","733,406",$13.73
Alaska,Haines,KHNS,Radio Community Service Grant,"$144,018","733,406",$13.73
Alaska,Homer,KBBI,Radio Community Service Grant,"$138,712","733,406",$13.73
Alaska,Juneau,KTOO,Television Community Service Grant,"$835,354","733,406",$13.73
Alaska,Juneau,KTOO,Other System Support,"$12,050","733,406",$13.73
Alaska,Juneau,KTOO,Radio Community Service Grant,"$171,041","733,406",$13.73
